"","January","February","March","April","May","June","July","August","September","October","November","December"
"1980",324.21,336.56,329.21,333.25,327.97,316.6,298.31,290.25,293.14,300.21,307.67,312
"1981",323.71,327.65,327.28,330.56,333.03,321.74,314.55,322.55,321.18,317.36,322.64,344.67
"1982",352.65,339.09,326.95,328.4,337.75,331.92,333.73,332.61,314.03,302.49,310.02,320
"1983",327.97,336.45,331.99,330.45,323.8,305.28,316.5,329.82,319.2,317.31,322.95,328.46
"1984",327.1,331.03,332.4,327.94,326.75,307.37,322.47,342.52,333.42,325.56,332.15,342.55
"1985",352.04,344.57,341.31,346.94,347.74,336.7,345.02,348.92,344.93,326.53,319.97,331.83
"1986",335.8,333.71,319.98,320.9,322.91,327.31,333.77,334.52,317.47,312.86,315.71,330.33
"1987",341.25,345.35,337.31,335.71,332.33,328.5,345.97,341.94,329.85,328.31,334.97,347.56
"1988",355.29,361.23,373.08,371.42,362.93,346.37,360.55,356.34,344.44,343.73,337.94,358.94
"1989",360.7,363.86,345.9,343.89,343.64,344,353,350.88,346.25,332.47,325.16,341.43
"1990",344.73,340.82,344.69,356.82,347.02,339.78,340.9,345.37,337.98,329.22,333.59,355.49
"1991",357.64,352.3,346.68,352.02,352.72,342.31,342.96,346.33,347.23,338.68,338.49,349.33
"1992",363.7,364.9,350.37,359.44,351.76,343.46,343.44,349.8,337.55,332.98,337.3,350.99
"1993",351.55,348.5,346.82,350.63,346.56,333.2,336.81,344.25,334.15,325.8,325.89,336.3
"1994",343.73,342.56,339.02,347.94,343.98,340.17,341.11,359.52,331.63,333.65,351.31,364.58
"1995",363.93,350.89,335.65,355.82,354.32,349.43,352.36,351.96,348.54,351.97,357.36,364.51
"1996",374.43,372.44,371.32,368.09,359.37,347.65,351.04,359.09,344.53,341.75,346.07,359.54
"1997",371.71,371.24,363.98,371.6,353.81,326.8,325.82,351.51,345.86,326.41,332.11,342.76
"1998",364.48,368.28,365.82,364.27,354.77,347.75,346.17,347.58,337.87,346.73,347.53,363.8
"1999",369.11,369.54,372.22,376.05,377.67,368.5,374.78,368.75,360.36,356.8,372.66,389.98
"2000",409.68,403.14,388.84,383.99,366.61,346.85,364.43,368.79,359.2,354.65,373.6,389.55
"2001",402.78,400.03,384.63,376.36,364.73,351.91,352.86,356.57,345.92,344.29,344.65,352.06
"2002",365.49,372.31,366.62,359.43,349.66,334.11,344.99,355.14,344.09,345.29,348.84,349.22
"2003",355.09,361.74,352.03,362.3,361.74,362.65,367.19,368.43,352.6,353.5,353.09,354.41
"2004",363.25,367.01,361.85,373.38,369.9,350.82,352.78,364.84,352.35,349.29,357.44,364.29
"2005",376.45,368.18,365.52,378.45,374.66,351.03,362.82,376.48,362.32,362.93,374.39,394.01
"2006",387.81,391.85,384.74,385.23,382.48,373.86,367.06,368.61,370.17,377.13,366.16,385.9
"2007",399.17,401.18,382.61,390.78,390.06,378.16,369.6,388.51,380.35,360.77,388.26,421.25
"2008",432.72,422.9,415.06,409.72,401.43,381.28,372.5,388.4,393.39,375.28,383.54,399.89
"2009",400.85,396.72,386.32,393.05,369.84,336.72,342.8,365.7,361.1,372.48,375.65,396.7
"2010",386.65,378.2,382.9,392.28,376.15,363.09,368.41,380.69,369.44,354.98,368.19,380.42
"2011",391.16,386.4,388.19,389.84,383.5,380.97,371.46,360.52,380.1,396.04,401.09,400.69
"2012",392.03,411.69,394.8,401.01,389.74,375.84,380.09,390.21,386.64,383.79,392.44,402.05
"2013",440.72,429.52,428.15,413.44,398.57,384.99,385.16,389.21,384.95,392.06,393.01,387.15
